rank,tier,cluster,url,primary_keyword,absorbs,kw_count,volume,kd,cpc,intent,page_type,data_confidence,lead_potential,blocker,rationale
1,1,Geometry,/roof-calculator,roof calculator,roof area calculator; roof measurement calculator; roof square footage calculator; roofing square calculator; roof squares calculator,6,"~4,400*",NEEDS_SEMRUSH,low,utility,tool,VERIFIED — exact geometry,medium,none,"Hub tool, multi-mode. The ONLY cluster needing zero pricing data: pitch factors are the 5 verified rows in our dataset, sqrt(1+(rise/12)^2). Ships at full confidence while materials are still sample. Feeds every cost page below."
2,1,Quote,/roofing-quote-checker,roof quote checker,roofing estimate checker; roofing quote analysis; roof replacement quote checker,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,tool,"n/a — compares, does not price",high,none,"The differentiator. roofcostdata.com competes here; we win on PDF upload + per-line provenance, which no competitor evidences."
3,1,Quote,/is-my-roofing-quote-too-high,is my roofing quote too high,is my roof replacement quote too high; how much should a roofer charge; average roofing quote,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,tool,n/a,high,none,"Live SERP 2026-08-31: contractor marketing blogs, no tool. Weakest competition found in the entire research."
4,1,Geometry,/roofing-square-calculator,roofing square calculator,roof squares calculator; how many squares is my roof; squares to sq ft,4,"~2,400*",NEEDS_SEMRUSH,low,utility,tool,VERIFIED,medium,none,"A 'square' is the unit the whole trade quotes in and homeowners do not know it. Pure math, perfect data, natural bridge into the cost calculator."
5,1,Components,/roofing-labor-cost,roofing labor cost,roofing labor cost per square foot; roof installation labor cost; what do roofers charge per hour,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,"MODELED — real BLS wages, 13 metros",high,none,The one COST page we can defend today. Backed by BLS OEWS May 2025 across 13 metros. No competitor found publishes sourced local labour rates.
6,1,Materials,/asphalt-shingle-roof-cost,asphalt shingle roof replacement,asphalt shingle roof cost; architectural shingle cost; 3 tab shingle roof cost; shingle roof replacement cost,6,"1,000",16,26.83,commercial,calculator,SAMPLE materials,high,materials,Only family with PROVEN Semrush demand. KD 16 + $26.83 CPC is the anomaly worth chasing.
7,1,Geometry,/roof-pitch-calculator,roof pitch calculator,roof slope calculator; roof pitch multiplier; pitch to angle,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,low,utility,tool,VERIFIED,low,none,Pure geometry. Low lead value but high trust value and zero data risk.
8,1,Quote,/compare-roofing-quotes,compare roofing quotes,roofing quote comparison; compare roofing estimates; why are my roof quotes so different,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,tool,n/a,high,none,Multi-quote comparison already built. Distinct intent from single-quote checking - cheapest must not automatically win.
9,1,Geometry,/roof-shingle-calculator,roof shingle calculator,roofing material calculator; how many bundles of shingles; shingle waste factor,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,low,utility,tool,VERIFIED geometry + sample prices,medium,none,"Quantity is exact; only the optional price-out uses sample data. Show quantities confidently, price with the confidence badge."
10,1,Quote,/what-should-a-roofing-quote-include,what should a roofing quote include,roofing quote checklist; roofing contract checklist; roofing estimate red flags,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,informational,article+tool,n/a,medium,none,"Scope-gap logic already in lib/engine/questions.ts. Must link to the checker, not duplicate it."
11,2,Core,/roof-replacement-cost,roof replacement cost,new roof cost; cost to replace roof; average roof replacement cost; how much does a new roof cost; cost of a new roof,12,12K-67K* (5x spread),NEEDS_SEMRUSH,high,commercial,calculator,SAMPLE materials,high,materials,"THE head term, deliberately not Tier 1. SERP holds This Old House and Modernize; entering with 60-70% sample materials is a losing fight. Win the flanks first."
12,2,Core,/roof-cost-calculator,roof replacement cost calculator,roofing cost calculator; new roof cost calculator; roof estimate calculator; roofing estimate calculator; roof replacement calculator,8,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,calculator,SAMPLE materials,high,materials,Calculator intent for cost. Same gate as the head term.
13,2,Size,/roof-replacement-cost-by-size,2000 sq ft roof replacement cost,1500 sq ft roof cost; 2500 sq ft roof cost; 3000 sq ft roof cost; cost to replace 2000 sq ft roof,14,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,calculator,SAMPLE materials,high,materials,"ONE hub with a size selector, not 11 pages. Rule R4: split into standalone pages only where output differs materially - realistically 1500 / 2000 / 2500 at most."
14,2,Core,/roof-cost-per-square-foot,roof replacement cost per square foot,roofing cost per square foot; roof cost per sq ft; price per square roofing,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,SAMPLE materials,medium,materials,HIGH duplication risk against the main calculator. Build only if Semrush shows a distinct cluster; otherwise it is a section.
15,2,Materials,/standing-seam-metal-roof-cost,standing seam metal roof cost,standing seam metal roof installation cost; standing seam cost per square foot,3,"~2,900*",18*,NEEDS_SEMRUSH,commercial,calculator,SAMPLE materials,high,materials,Best volume-to-difficulty ratio in the relayed data. Passes R5 - genuinely different cost structure from exposed-fastener metal.
16,2,Materials,/metal-roof-cost,metal roof cost,metal roof replacement cost; metal roofing cost per square foot; corrugated metal roof cost; metal roof vs shingles cost,6,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,calculator,SAMPLE materials,high,materials,Second material family. Verify family size before assuming it matches asphalt.
17,2,Local,/roofing-cost/newark-nj,roof replacement cost new jersey,roofing cost newark; roof replacement nj,3,"880* (KD 7, unverified)",7*,NEEDS_SEMRUSH,commercial,calculator,"MODELED labour, sample materials",high,EDITORIAL,"BLS metro wages live. Blocked on local editorial per rule R1 - freeze-thaw, ice-and-water-shield code, permit authority."
18,2,Local,/roofing-cost/chicago-il,roof replacement cost chicago,roofing cost illinois; roof replacement chicago,3,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,calculator,NEEDS BLS RE-RUN,high,BLS + editorial,"Strongest uncovered market: 3,900 roofers at $39.47 median, highest-wage large metro in the 13-state analysis."
19,2,Components,/roof-tear-off-cost,roof tear off cost,roof removal cost; roof disposal cost; second layer tear off cost,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,SAMPLE,medium,materials,"A real line item homeowners are surprised by, and a common quote-gap. Feeds the checker."
20,2,Components,/roofing-underlayment-cost,roofing underlayment cost,synthetic underlayment cost; roofing felt cost; felt paper cost; ice and water shield cost,6,40 (felt paper),1,NEEDS_SEMRUSH,commercial,calculator,SAMPLE,low,materials,THE worked example of rule R8. Six tiny keywords - felt paper is 40/mo at KD 1 - collapse into one tool. Never build /cost-of-roofing-felt-paper.
21,2,Components,/roof-decking-replacement-cost,roof decking replacement cost,roof sheathing replacement cost; plywood replacement roof; decking cost per sheet,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,SAMPLE,medium,materials,"The single most common change-order on a real job, and the thing our questions engine already flags. Strong quote-checker feeder."
22,2,Local,/roof-replacement-cost-by-state,roof replacement cost by state,roofing cost by state; roof replacement cost by zip code; roof cost near me,5,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,hub,MODELED labour,medium,coverage,"Hub page, NOT 50 state pages. Individual state pages only where rules R1+R2 pass - which today is 13 metros, not 50 states."
