tier,url,primary_keyword,secondary_keywords,volume,kd,cpc,intent,page_type,scope,lead_potential,data_required,duplication_risk,rationale
1,/roofing-quote-checker,roofing quote checker,roofing estimate checker; roofing quote analysis; check my roof quote,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,tool,national,high,built,low,"Our differentiator. Competitor roofcostdata.com already ranks here; we compete on PDF upload + provenance, which no competitor evidences."
1,/is-my-roofing-quote-too-high,is my roofing quote too high,roofing quote too expensive; is my roof estimate fair,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,tool,national,high,built,low,Live SERP 2026-08-31 is contractor marketing blogs with no tool. Weakest competition found anywhere in this research.
1,/asphalt-shingle-roof-replacement-cost,asphalt shingle roof replacement,asphalt shingle roof cost; cost to replace asphalt shingle roof,1000,16,26.83,commercial,calculator,national,high,have,low,Only family with PROVEN demand. Semrush 2026-08-31. KD 16 with $26.83 CPC is the anomaly worth chasing.
1,/what-should-a-roofing-quote-include,what should a roofing quote include,roofing quote checklist; roofing contract checklist,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,informational,article+tool,national,medium,built,medium,"Feeds the checker. Scope-gap logic already exists in lib/engine/questions.ts. Dup risk vs quote-checker - must link, not duplicate."
1,/compare-roofing-quotes,compare roofing quotes,compare roofing estimates; multiple roof quotes different,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,tool,national,high,built,low,Multi-quote comparison already built. Distinct intent from single-quote checking.
1,/roofing-cost/newark-nj,roof replacement cost newark nj,roofing cost new jersey; roof replacement nj,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,local,high,pricing live; EDITORIAL MISSING,medium,Targets the 880/mo KD 7 NJ keyword (unverified). BLS metro wages live. BLOCKED until local editorial written - rule R1.
1,/roofing-cost/philadelphia-pa,roof replacement cost philadelphia,roofing cost philadelphia pa,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,local,high,pricing live; EDITORIAL MISSING,medium,"3,650 roofers statewide. Pricing live. BLOCKED on editorial - rule R1."
1,/roofing-cost/boston-ma,roof replacement cost boston,roofing cost massachusetts,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,local,high,pricing live; EDITORIAL MISSING,medium,"1,120 roofers in metro. Pricing live. BLOCKED on editorial - rule R1."
2,/roof-replacement-cost,roof replacement cost,new roof cost; roof replacement price,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,high,materials weak,low,"The head term. Deliberately NOT tier 1: SERP holds This Old House and Modernize, and our materials data is 60-70% sample. Entering here before materials are real is a losing fight."
2,/roofing-cost/chicago-il,roof replacement cost chicago,roofing cost illinois,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,local,high,NEEDS BLS RE-RUN,medium,"Strongest uncovered market: 3,900 roofers at $39.47 median, highest-wage large metro in the 13-state analysis. High wage = high ticket = valuable lead."
2,/roofing-cost/detroit-mi,roof replacement cost detroit,roofing cost michigan,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,local,medium,NEEDS BLS RE-RUN,medium,"1,450 roofers concentrated in one metro, unlike Ohio which is fragmented."
2,/roofing-underlayment-cost,roofing underlayment cost,synthetic underlayment cost; roofing felt cost; felt paper cost,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,medium,have,low,"CLUSTER page, not a keyword page. Absorbs felt paper (40/mo KD 1), synthetic, per-sq-ft and size variants into one tool. This is the right response to tiny-volume keywords."
2,/metal-roof-cost,metal roof cost,metal roof installation cost; metal roof price,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,high,materials weak,low,Second material family. Verify family size in Semrush before building - do not assume it matches asphalt.
2,/standing-seam-metal-roof-cost,standing seam metal roof cost,standing seam cost per square foot,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,high,materials weak,medium,"Only if it passes rule R5 - genuinely different cost structure from exposed-fastener metal. It does, but confirm demand."
2,/roof-replacement-cost-per-square-foot,roof cost per square foot,roofing cost per sq ft; price per square roofing,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,medium,have,high,"HIGH duplication risk against the main calculator. Build only if Semrush shows a distinct cluster; otherwise make it a section, not a page."
2,/2000-sq-ft-roof-replacement-cost,2000 sq ft roof replacement cost,2000 square foot roof cost,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,high,have,high,"Size pages only pass rule R4 if output differs materially. 2000 vs 2100 is the same page. Build 1500/2000/2500 at most, never a continuum."
3,/roof-repair-cost,roof repair cost,roof repair estimate; roof leak repair cost,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,medium,NOT MODELLED,low,"Different job, different engine. Repair is not a scaled-down replacement. Needs its own cost model before any page exists."
3,/roof-repair-vs-replacement,repair or replace roof,should i repair or replace my roof,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,informational,tool,national,medium,NOT MODELLED,low,"Genuinely useful decision tool, but requires the repair model above."
3,/concrete-tile-roof-cost,concrete tile roof cost,tile roof replacement cost; tile underlayment cost,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,high,have,medium,"Passes rule R5 - lift-and-relay is a genuinely different job. But it is a Phoenix/Florida regional job, so pair with those city pages rather than shipping national."
3,/clay-tile-roof-cost,clay tile roof cost,spanish tile roof cost,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,medium,have,high,"Likely cluster member of concrete tile, not a separate page. Verify the calculation actually differs - rule R5."
3,/slate-roof-cost,slate roof cost,natural slate roof price,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,medium,have,medium,"High ticket, very low volume. Northeast-regional. Wait for Search Console evidence."
3,/cedar-shake-roof-cost,cedar shake roof cost,cedar roof cost; wood shake roof price,10,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,national,low,have,high,10/mo per your own Semrush. Cluster member at best. Building this standalone is exactly the KD-1-percent trap.
NO,/tpo-roof-cost,tpo roof cost,,30,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,low,-,-,"DO NOT BUILD. TPO is commercial flat roofing - the searcher is a building owner or contractor, not a homeowner. Wrong buyer, wrong engine, and no contractor lead value in our funnel."
NO,/epdm-roof-cost,epdm roof cost,,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,low,-,-,"DO NOT BUILD. Same reason as TPO - commercial membrane roofing, not a residential homeowner query."
NO,/cost-of-roofing-felt-paper,cost of roofing felt paper,,40,1,NEEDS_SEMRUSH,commercial,-,-,low,-,-,DO NOT BUILD as its own page. 40/mo. Fold into /roofing-underlayment-cost as a cluster member. KD 1 percent is not a reason on its own.
NO,/hail-damage-roof,hail damage roof,roof insurance claim; storm damage roof,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,high,ENGINE CANNOT ANSWER,-,DO NOT BUILD YET. High lead value but it is an INSURANCE question - is my adjuster's scope fair - not a retail cost question. Ranking then answering a different question earns a high bounce rate.
NO,/best-roofing-contractor-{city},best roofing contractor in {city},,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,local,high,NONE,-,DO NOT BUILD. We have no vetted contractor network. The page would be a lie.
NO,/roofing-cost/{city} for OH and CT metros,roof replacement cost cleveland,,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,local,low,-,-,"DO NOT BUILD. BLS: Ohio's 3,790 roofers are fragmented (Cleveland only 780) so no single page reaches the market. Connecticut is 660 statewide."
NO,solar / hvac / windows / siding - any page,,,,,,,-,-,-,-,-,DO NOT BUILD. Materials are not solved for roofing yet. A second vertical multiplies an unsolved data problem instead of solving it.
